Date,Close_HSI_Hang_Seng,Close_HSI_Nikkei_225,Close_N225_Hang_Seng,Close_N225_Nikkei_225,HSI_Pct_Change,N225_Pct_Change,Asian_Avg_Pct_Change,Close_HSI,Close_N225
2022-10-28,14863.0596,,,27105.1992,-3.6614,-0.8778,-2.2696,,
2022-10-31,14687.0195,,,27587.4609,-1.1844,1.7792,0.2974,,
2022-11-01,15455.2695,,,27678.9199,5.2308,0.3315,2.7812,,
2022-11-02,15827.1699,,,27663.3906,2.4063,-0.0561,1.1751,,
2022-11-03,15339.4902,,,,-3.0813,0.0000,-1.5406,,
2022-11-04,16161.1396,,,27199.7402,5.3564,-1.6760,1.8402,,
2022-11-07,16595.9102,,,27527.6406,2.6902,1.2055,1.9479,,
2022-11-08,16557.3105,,,27872.1094,-0.2326,1.2514,0.5094,,
2022-11-09,16358.5195,,,27716.4297,-1.2006,-0.5586,-0.8796,,
2022-11-10,16081.0400,,,27446.0996,-1.6962,-0.9753,-1.3358,,
2022-11-11,17325.6602,,,28263.5703,7.7397,2.9785,5.3591,,
2022-11-14,17619.7109,,,27963.4707,1.6972,-1.0618,0.3177,,
2022-11-15,18343.1191,,,27990.1699,4.1057,0.0955,2.1006,,
2022-11-16,18256.4805,,,28028.3008,-0.4723,0.1362,-0.1680,,
2022-11-17,18045.6602,,,27930.5703,-1.1548,-0.3487,-0.7517,,
2022-11-18,17992.5391,,,27899.7695,-0.2944,-0.1103,-0.2023,,
2022-11-21,17655.9102,,,27944.7891,-1.8709,0.1614,-0.8548,,
2022-11-22,17424.4102,,,28115.7402,-1.3112,0.6117,-0.3497,,
2022-11-23,17523.8105,,,,0.5705,0.0000,0.2852,,
2022-11-24,17660.9004,,,28383.0898,0.7823,0.9509,0.8666,,
2022-11-25,17573.5801,,,28283.0293,-0.4944,-0.3525,-0.4235,,
2022-11-28,17297.9395,,,28162.8301,-1.5685,-0.4250,-0.9967,,
2022-11-29,18204.6797,,,28027.8398,5.2419,-0.4793,2.3813,,
2022-11-30,18597.2305,,,27968.9902,2.1563,-0.2100,0.9732,,
2022-12-01,18736.4395,,,28226.0801,0.7485,0.9192,0.8339,,
2022-12-02,18675.3496,,,27777.9004,-0.3260,-1.5878,-0.9569,,
2022-12-05,19518.2891,,,27820.4004,4.5136,0.1530,2.3333,,
2022-12-06,19441.1797,,,27885.8691,-0.3951,0.2353,-0.0799,,
2022-12-07,18814.8203,,,27686.4004,-3.2218,-0.7153,-1.9686,,
2022-12-08,19450.2305,,,27574.4297,3.3772,-0.4044,1.4864,,
2022-12-09,19900.8691,,,27901.0098,2.3169,1.1844,1.7506,,
2022-12-12,19463.6309,,,27842.3301,-2.1971,-0.2103,-1.2037,,
2022-12-13,19596.1992,,,27954.8496,0.6811,0.4041,0.5426,,
2022-12-14,19673.4492,,,28156.2109,0.3942,0.7203,0.5573,,
2022-12-15,19368.5898,,,28051.6992,-1.5496,-0.3712,-0.9604,,
2022-12-16,19450.6699,,,27527.1191,0.4238,-1.8700,-0.7231,,
2022-12-19,19352.8105,,,27237.6406,-0.5031,-1.0516,-0.7774,,
2022-12-20,19094.8008,,,26568.0293,-1.3332,-2.4584,-1.8958,,
2022-12-21,19160.4902,,,26387.7207,0.3440,-0.6787,-0.1673,,
2022-12-22,19679.2207,,,26507.8691,2.7073,0.4553,1.5813,,
2022-12-23,19593.0605,,,26235.2500,-0.4378,-1.0284,-0.7331,,
2022-12-26,,,,26405.8691,0.0000,0.6503,0.3252,,
2022-12-27,,,,26447.8691,0.0000,0.1591,0.0795,,
2022-12-28,19898.9102,,,26340.5000,1.5610,-0.4060,0.5775,,
2022-12-29,19741.1406,,,26093.6699,-0.7929,-0.9371,-0.8650,,
2022-12-30,19781.4102,,,26094.5000,0.2040,0.0032,0.1036,,
2023-01-03,20145.2891,,,,1.8395,0.0000,0.9197,,
2023-01-04,20793.1094,,,25716.8594,3.2157,-1.4472,0.8843,,
2023-01-05,21052.1699,,,25820.8008,1.2459,0.4042,0.8250,,
2023-01-06,20991.6406,,,25973.8496,-0.2875,0.5927,0.1526,,
2023-01-09,21388.3398,,,,1.8898,0.0000,0.9449,,
2023-01-10,21331.4609,,,26175.5605,-0.2659,0.7766,0.2553,,
2023-01-11,21436.0508,,,26446.0000,0.4903,1.0332,0.7617,,
2023-01-12,21514.0996,,,26449.8203,0.3641,0.0144,0.1893,,
2023-01-13,21738.6602,,,26119.5195,1.0438,-1.2488,-0.1025,,
2023-01-16,21746.7207,,,25822.3203,0.0371,-1.1378,-0.5504,,
